File path,File name,File size,Modification date,Compressed File,Compressed Date,Compressed Size
Deep Learning with PyTorch for Medical Image Analysis,2 - CNN - Convolutional Neural Networks.ipynb,2967692,2024-04-22 21:44:21.418049+02:00,,,2967692.0
Deep Learning with PyTorch for Medical Image Analysis,3 - Data Formats in Medical Imaging.ipynb,14689805,2024-04-22 21:44:49.963030+02:00,,,14689805.0
Deep Learning with PyTorch for Medical Image Analysis,4 - Pneumonia-Classification.ipynb,13780136,2024-04-22 21:45:04.179133+02:00,,,13780136.0
"Modern Computer Vision PyTorch, TensorFlow 2 Keras & OpenCV 4",1 - OpenCV - Image Operations.ipynb,14557192,2024-04-22 21:45:06.607686+02:00,,,14557192.0
PyTorch for Deep Learning and Computer Vision,1 - Intro to Tensors - PyTorch.ipynb,352660,2024-04-22 21:44:34.979947+02:00,,,352660.0
PyTorch for Deep Learning and Computer Vision,2 - Linear Regression - PyTorch.ipynb,376437,2024-04-22 21:44:35.176971+02:00,,,376437.0
PyTorch for Deep Learning and Computer Vision,3 - Perceptrons - PyTorch.ipynb,584856,2024-04-22 21:44:35.431918+02:00,,,584856.0
PyTorch for Deep Learning and Computer Vision,4 - Deep Neural Networks - PyTorch.ipynb,711652,2024-04-22 21:44:35.674211+02:00,,,711652.0
PyTorch for Deep Learning and Computer Vision,5 - Image Recognition - PyTorch.ipynb,1149551,2024-04-22 21:44:36.135879+02:00,,,1149551.0
PyTorch for Deep Learning and Computer Vision,6 - Convolutional Neural Networks - PyTorch.ipynb,1060599,2024-04-22 21:44:36.532230+02:00,,,1060599.0
PyTorch for Deep Learning and Computer Vision,7 - CIFAR-10 Classification - PyTorch.ipynb,5389682,2024-04-22 21:44:37.940442+02:00,,,5389682.0
PyTorch for Deep Learning and Computer Vision,8 - Transfer Learning - PyTorch.ipynb,6533923,2024-04-22 21:44:39.584530+02:00,,,6533923.0
PyTorch for Deep Learning and Computer Vision,9 - Style Transfer - PyTorch.ipynb,4582399,2024-04-22 21:44:40.674364+02:00,,,4582399.0
